City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
133,Papara,-3.9839,-38.7273,82.4,78,20,11.5,BR,few clouds
134,Castro,-24.7911,-50.0119,72.27,89,84,5.99,BR,broken clouds
135,Sainte-Claire,46.6006,-70.8649,33.01,85,100,1.01,CA,light snow
136,Inta,66.0317,60.1659,-17.28,88,1,6.78,RU,clear sky
137,Riyadh,24.6877,46.7219,62.6,42,0,4.61,SA,clear sky
138,Hudiksvall,61.729,17.1036,21.0,98,60,1.99,SE,broken clouds
139,Price,39.5994,-110.8107,48.2,29,1,16.11,US,clear sky
140,Kaitangata,-46.2817,169.8464,64.99,75,100,1.99,NZ,overcast clouds
141,Roswell,34.0232,-84.3616,41.0,56,90,17.27,US,overcast clouds
142,Mizdah,31.4451,12.9801,47.01,68,5,8.9,LY,clear sky
143,Khatanga,71.9667,102.5,-25.15,84,77,6.4,RU,broken clouds
144,Klaksvik,62.2266,-6.589,41.0,100,75,2.3,FO,light rain
145,Bandiagara,14.3501,-3.6104,74.19,18,100,12.86,ML,overcast clouds
146,Moose Factory,51.2585,-80.6094,15.8,79,90,12.66,CA,light snow
147,Georgetown,5.4112,100.3354,78.8,88,40,3.44,MY,scattered clouds
148,Avera,33.194,-82.5271,48.2,37,40,17.27,US,scattered clouds
149,Abu Kamal,34.4506,40.9171,54.64,53,3,11.3,SY,clear sky
150,Jinsha,32.0898,121.0735,32.0,70,84,8.88,CN,broken clouds
151,Humberto De Campos,-2.5983,-43.4611,80.08,76,69,6.67,BR,moderate rain
152,Kita,13.0349,-9.4895,74.91,17,100,5.66,ML,overcast clouds
153,Marzuq,14.4,46.4667,58.41,54,0,2.28,YE,clear sky
154,Naze,28.3667,129.4833,53.6,82,47,22.24,JP,scattered clouds
155,Taltal,-25.4,-70.4833,68.56,58,1,3.71,CL,clear sky
156,Lata,40.1629,-8.3327,44.01,87,0,1.14,PT,clear sky
157,Norman Wells,65.282,-126.8329,-0.4,78,75,4.61,CA,broken clouds
158,Mach,29.8637,67.3298,51.39,33,0,4.47,PK,clear sky
159,Zhigansk,66.7697,123.3711,-33.23,83,100,5.55,RU,overcast clouds
160,Peking,39.9075,116.3972,25.0,32,0,2.71,CN,clear sky
