City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
63,Bethel,41.3712,-73.414,37.99,75,75,2.28,US,2021-01-14 23:24:30
64,Bredasdorp,-34.5322,20.0403,68.0,94,80,2.3,ZA,2021-01-14 23:27:01
65,Butaritari,3.0707,172.7902,80.85,76,9,21.5,KI,2021-01-14 23:27:01
66,Vrangel,42.7297,133.0839,18.72,83,99,10.58,RU,2021-01-14 23:27:01
67,Mahebourg,-20.4081,57.7,77.0,94,40,1.14,MU,2021-01-14 23:27:02
68,Burnie,-41.0667,145.9167,50.43,80,89,1.92,AU,2021-01-14 23:27:02
69,Brigantine,39.4101,-74.3646,41.0,75,1,5.03,US,2021-01-14 23:27:02
70,Aklavik,68.2191,-135.0107,-4.0,77,81,2.3,CA,2021-01-14 23:27:02
71,Catio,11.2833,-15.25,72.18,89,21,5.41,GW,2021-01-14 23:27:02
72,Jamestown,42.097,-79.2353,36.0,93,1,6.91,US,2021-01-14 23:27:02
73,Geraldton,-28.7667,114.6,86.0,28,0,17.27,AU,2021-01-14 23:27:03
74,Talnakh,69.4865,88.3972,-41.84,79,30,1.14,RU,2021-01-14 23:27:03
75,Tuyen Quang,21.8233,105.2181,53.74,77,32,1.01,VN,2021-01-14 23:27:03
76,Adrar,20.5022,-10.0711,61.2,27,52,13.8,MR,2021-01-14 23:27:03
77,Salalah,17.0151,54.0924,75.2,13,0,5.75,OM,2021-01-14 23:27:03
78,Qaanaaq,77.484,-69.3632,7.41,76,77,4.16,GL,2021-01-14 23:27:03
79,Norman Wells,65.282,-126.8329,-0.4,85,40,4.61,CA,2021-01-14 23:27:03
80,Camacha,33.0833,-16.3333,55.4,67,40,9.22,PT,2021-01-14 23:27:03
81,Torbay,47.6666,-52.7314,33.01,100,90,3.44,CA,2021-01-14 23:27:04
82,Saldanha,-33.0117,17.9442,64.4,94,26,11.5,ZA,2021-01-14 23:27:04
83,Avera,33.194,-82.5271,51.8,54,1,5.75,US,2021-01-14 23:27:04
84,Waddan,29.1614,16.139,49.23,61,0,2.26,LY,2021-01-14 23:27:04
85,Hilo,19.7297,-155.09,84.2,51,40,9.22,US,2021-01-14 23:23:14
86,Vaini,-21.2,-175.2,84.2,84,20,10.36,TO,2021-01-14 23:27:04
87,Vestmanna,62.1564,-7.1664,35.6,100,75,2.3,FO,2021-01-14 23:27:04
88,Atbasar,51.8,68.3333,-9.65,87,1,9.1,KZ,2021-01-14 23:27:04
89,Lavrentiya,65.5833,-171.0,3.99,92,99,5.61,RU,2021-01-14 23:27:04
90,Colonia,50.9333,6.95,33.01,69,0,8.05,DE,2021-01-14 23:27:04
91,Christchurch,-43.5333,172.6333,70.0,72,90,4.61,NZ,2021-01-14 23:25:31
92,Bluff,-46.6,168.3333,73.0,64,17,3.0,NZ,2021-01-14 23:27:05
93,San Luis,-33.295,-66.3356,81.73,48,20,10.2,AR,2021-01-14 23:27:05
94,Nassjo,57.6531,14.6968,19.4,93,75,4.61,SE,2021-01-14 23:27:05
95,Busselton,-33.65,115.3333,63.0,71,36,3.0,AU,2021-01-14 23:27:05
96,Djambala,-2.5447,14.7533,66.83,93,100,3.4,CG,2021-01-14 23:27:05
97,Cairns,-16.9167,145.7667,84.99,69,100,19.57,AU,2021-01-14 23:23:14
98,Kiunga,-6.1219,141.2906,74.35,98,100,3.09,PG,2021-01-14 23:27:05
99,Bambous Virieux,-20.3428,57.7575,77.0,94,40,1.14,MU,2021-01-14 23:27:06
100,Provideniya,64.3833,-173.3,10.4,79,90,6.71,RU,2021-01-14 23:27:06
101,Omboue,-1.5746,9.2618,75.16,90,35,3.0,GA,2021-01-14 23:27:06
102,Hasaki,35.7333,140.8333,41.0,75,75,4.61,JP,2021-01-14 23:27:06
103,Dikson,73.5069,80.5464,-28.07,81,1,4.92,RU,2021-01-14 23:27:06
104,East London,-33.0153,27.9116,75.38,90,99,7.78,ZA,2021-01-14 23:27:06
105,Kruisfontein,-34.0033,24.7314,72.0,90,81,1.99,ZA,2021-01-14 23:27:06
106,Pisco,-13.7,-76.2167,71.6,78,0,21.85,PE,2021-01-14 23:27:06
107,Khatanga,71.9667,102.5,-50.98,76,52,2.42,RU,2021-01-14 23:27:06
108,Deer Lake,49.1667,-57.4316,28.4,86,90,3.44,CA,2021-01-14 23:27:07
109,Port Elizabeth,-33.918,25.5701,68.0,100,90,8.05,ZA,2021-01-14 23:27:07
110,Georgetown,5.4112,100.3354,78.01,88,20,2.3,MY,2021-01-14 23:27:07
111,Englehart,47.8169,-79.8664,30.2,86,90,4.61,CA,2021-01-14 23:27:07
112,Teguise,29.0605,-13.564,60.8,55,75,9.22,ES,2021-01-14 23:27:07
113,Leningradskiy,69.3833,178.4167,-1.55,91,100,10.31,RU,2021-01-14 23:27:07
114,Puerto Del Rosario,28.5004,-13.8627,62.6,55,75,17.27,ES,2021-01-14 23:26:09
115,Saint George,37.1041,-113.5841,62.01,23,1,4.61,US,2021-01-14 23:27:07
